monarch;start_year;end_year;reign_years
Christian I;1448;1481;33
Hans;1481;1513;32
Christian II;1513;1523;10
Frederik I;1523;1533;10
Christian III;1534;1559;25
Frederik II;1559;1588;29
Christian IV;1588;1648;60
Frederik III;1648;1670;22
Christian V;1670;1699;29
Frederik IV;1699;1730;31
Christian VI;1730;1746;16
Frederik V;1746;1766;20
Christian VII;1766;1808;42
Frederik VI;1808;1839;31
Christian VIII;1839;1848;9
Frederik VII;1848;1863;15
Christian IX;1863;1906;43
Frederik VIII;1906;1912;6
Christian X;1912;1947;35
Frederik IX;1947;1972;25
Margrethe II;1972;2024;52
Frederik X;2024;2026;2